address,reg_name,bits,field,type,default_value,modify,analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,[6:0],DataLaneWaitCnt,R/W,7'h24,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x010A,CSI_LANE_CTRL,[7:5],Rev,R/W,3'd0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,[4],CLOCK_LAN,R/W,1'b0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,[3:0],DATA_LANE,R/W,4'hF,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x0114,PKT_TYPE,[7:6],Rev,R/W,2'd0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,[5:0],PKT_TYPE,R/W,6'd0,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x0118,VC0_WC_L,[7:0],VC0_WC[7:0],R/W,8'd0,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x0119,VC0_WC_H,[7:0],VC0_WC[15:8],R/W,8'd0,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x0128,VC0_FLNR_L,[7:0],VC0_FLNR[7:0],R/W,8'd0,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x0129,VC0_FLNR_H,[7:5],Rev,R/W,3'd0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,[4:0],VC0_FLNR[12:8],R/W,5'd0,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x0150,VC0_THRESHOLD,[7:0],VC0_THRESHOLD,R/W,8'd0,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x0226,CLK_EXIT,[7:0],ClkTxThsexitCnt,R/W,8'h02,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x0227,CLK_ZERO,[7:0],ClkTxThszeroCnt,R/W,8'h3C,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x0228,CLK_TRAIL,[7:0],ClkTxThstrailCnt,R/W,8'h0F,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x022B,THS_EXIT,[7:0],DataTxThsexitCnt,R/W,8'h2,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x022C,THS_PREPARE,[7:0],DataTxThsprepareCnt,R/W,8'h0,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x022D,THS_ZERO,[7:0],DataTxThszeroCnt,R/W,8'h32,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x022E,THS_TRAIL,[7:0],DataTxThstrailCnt,R/W,8'h11,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x023B,CLK_POST,[7:2],ClkTxHsPostCnt,R/W,6'h11,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,[1],SelLatchClkTxRequestHSN,R/W,1'b0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,[0],SelLatchTxRequestHSN,R/W,1'b0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
